"Notebook","Text count","Description"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq221/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Il Monsieur Teste di Longanesi. 12.4.1966 ; Gustavo Courbet in edicola. 23.4.966 ; Saluto a Carlo Carra. 27.4.966"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq218/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La lettera della befana. 22.1.966 ; La causa lunga. 5.3.966"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq409/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Qualche ricordo di V. Cardarelli. 22.6.79 ; Andare all'osteria. 25.6.79"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq148/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Un proletario al Louvre ; Al museo Rodin"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq95/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""L'otto di spade. (16.1.1959) ; I quarant'anni della Ronda. (2.2.959)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq114/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Sbarbaro, come pittore. (Il 10.2.960) ; Una sera di carnevale. (18.2.960)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq80/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La trattoria dei cacciatori ; Ritorno a Pontecchio. Maggio 958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq235/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""L'estate di San Martino. 10.12.967 ; Fuga in bianco. 19.12.967. 30.12.967 ; Domenica al mare. 26.12.967"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq128/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Alla stazione di Astapovo. 28.10.1960 ; I poeti di Parigi. 5.11.960"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq26/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Una vecchia bolognese. Luglio 1955 ; Antonio Fiacchi scrittore ; Tre lettere di Valery"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq268/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Quasi una favola : racconto. 13.11.71 ; Il cavallino bianco : racconto. 8.2.1972"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq251/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Giuseppina : racconto. 13.2.969 ; Il sogno di Lisa : racconto. 5.3.69"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq224/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Kobilek di Ardengo Soffici. 31.5.1966 ; Stendhal e la pittura italiana"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq229/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Otto acquerelli di Cezanne. 24.5.1967 ; Crepuscolo di uno scrittore : (Scott Fitzgerald). 2.6.1967"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq174/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Gli scritti giovanili di Longhi. 18.2.963 ; Barbara : (due parti). 2.3.963. 23.4.963"""
