inventario	entity_type	occurrence	wikidata	wikidata_code	VIAF_ID	wikidata_uri
RDq 250	PER	Montaigne	Michel de Montaigne	Q41568
RDq 257	PER	Ungaretti	Giuseppe Ungaretti	Q311802
RDq 258	PER	Emilio Cecchi	Emilio Cecchi	Q708563
RDq 258	PER	M. Fubini	Mario Fubini	Q3848601
RDq 260	PER	V. Venturi	Venturino Venturi	Q2513051
RDq 272	PER	Holderlin	Friedrich Hölderlin	Q75889
RDq 277	PER	Rembrandt	Rembrandt	Q5598
RDq 279	PER	Blaise Pascal	Blaise Pascal	Q1290
RDq 282	PER	Blaise Pascal	Blaise Pascal	Q1290
RDq 283	PER	James Ensor	James Ensor	Q158840
RDq 289	PER	Dino Campana	Dino Campana	Q2271183
RDq 291	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 291	PER	Verlaine	Paul Verlaine	Q755
RDq 295	PER	Francesco Arcangeli	Francesco Arcangeli	Q1121086
RDq 296	PER	Alfredo Merio	Alfredo Merio	
RDq 297	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 298	PER	Ardengo Soffici	Ardengo Soffici	Q638877
RDq 299	PER	Giorgio Morandi	Giorgio Morandi	Q309618
RDq 301	PER	Carlo Carra	Carlo Carrà	Q168496
RDq 302	PER	Roberto Longhi	Roberto Longhi	Q1361667
RDq 303	PER	Francois Villon	François Villon	Q849
RDq 304	PER	Charles Baudelaire	Charles Baudelaire	Q501
RDq 305	PER	Clemente Rebora	Clemente Rebora	Q3680468
RDq 307	PER	Blaise Cendras	Blaise Cendrars	Q123080
RDq 310	PER	Calzolaretto	Gabriele Capellini	Q5515998	
RDq 311	PER	Domenico Giordani	Domenico Giordani		
RDq 312	PER	Domenico Giordani	Domenico Giordani		
RDq 314	PER	Baudelaire	Charles Baudelaire	Q501	17218730
RDq 315	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 316	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 316	PER	Rimbaud	Arthur Rimbaud	Q493	7396281
RDq 317	PER	Magalotti	Magalotti		
RDq 317	PER	G. Cestoni	G. Cestoni		
RDq 317	PER	G. Morandi	Giorgio Morandi	Q309618	7399099
RDq 317	PER	Morandi	Giorgio Morandi	Q309618	7399099
RDq 318	PER	Pascal	Blaise Pascal	Q1290	29538862
RDq 318	PER	Pascal	Blaise Pascal	Q1290	29538862
RDq 318	PER	Blaise Pascal	Blaise Pascal	Q1290	29538862
RDq 318	PER	Ch. Baudelaire	Charles Baudelaire	Q501	17218730
RDq 319	PER	Marcel Proust	Marcel Proust	Q7199	32001793
RDq 319	PER	G. Debenedetti	Giacomo Debenedetti	Q472856	34469924
RDq 322	PER	Mario Cavaglieri	Mario Cavaglieri	Q3293389	59357691
RDq 322	PER	De Pisis	Filippo De Pisis	Q661473	68940882
RDq 322	PER	De Pisis	Filippo De Pisis	Q661473	68940882
RDq 325	PER	Domenico Giordani	Domenico Giordani		
RDq 326	PER	Ungaretti	Giuseppe Ungaretti	Q311802	89710987
RDq 326	PER	Giorgio Morandi	Giorgio Morandi	Q309618	7399099
RDq 326	PER	Leo Longanesi	Leo Longanesi	Q1818677	34565669
RDq 326	PER	Dino Campana	Dino Campana	Q2271183	7387912
RDq 327	PER	Baudelaire	Charles Baudelaire	Q501	17218730
RDq 327	PER	Baudelaire	Charles Baudelaire	Q501	17218730
RDq 328	PER	Gian Girolamo Savoldo	Girolamo Savoldo	Q938442	89075896
RDq 328	PER	Gian Girolamo Savoldo	Girolamo Savoldo	Q938442	89075896
RDq 329	PER	Montaigne	Michel de Montaigne	Q41568	95153547
RDq 329	PER	Montaigne	Michel de Montaigne	Q41568	95153547
RDq 329	PER	Pascaliano	Blaise Pascal	Q1290	29538862
RDq 330	PER	Pascal	Blaise Pascal	Q1290	29538862
RDq 330	PER	pascaliana	Blaise Pascal	Q1290	29538862
RDq 331	PER	Pierre-Joseph Proudhon	Pierre-Joseph Proudhon	Q5749	17228286
RDq 331	PER	Geminiani	Francesco Geminiani	Q311625	196150
RDq 332	PER	Goethe	Johann Wolfgang von Goethe	Q5879	24602065
RDq 333	PER	Pascal	Blaise Pascal	Q1290	29538862
RDq 333	PER	pascaliana	Blaise Pascal	Q1290	29538862
RDq 334	PER	Cartesio	René Descartes	Q9191	41838958
RDq 334	PER	Pascal	Blaise Pascal	Q1290	29538862
RDq 335	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 336	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 337	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 338	PER	Plotino	Plotino	Q134189	108386765
RDq 338	PER	Porfirio	Porfirio	Q203445	64016141
RDq 339	PER	Giuseppe	Giuseppe Raimondi	Q3771293	7457679
RDq 340	PER	Mario Pozzati	Mario Pozzati		
RDq 341	PER	Pl.	Plotino	Q134189	108386765
RDq 341	PER	Porf.rio	Porfirio	Q203445	64016141
RDq 341	PER	Malraux	André Malraux	Q151164	51692748
RDq 341	PER	Mallarme	Stéphane Mallarmé	Q767	51692711
RDq 345	PER	Baudelaire	Charles Baudelaire	Q501	17218730
RDq 345	PER	Eurialo de Michelis	Eurialo De Michelis	Q3734622	95296860
RDq 348	PER	Romanino	Girolamo Romanino	Q732766	122377180
RDq 348	PER	Cardarelli	Vincenzo Cardarelli	Q922237	46755526
RDq 348	PER	Morandi	Giorgio Morandi	Q309618	7399099
RDq 349	PER	De Pisis	Filippo De Pisis	Q661473	68940882
RDq 350	PER	Bonsanti	Alessandro Bonsanti	Q3609870	34607550
RDq 353	PER	Poe	Edgar Allan Poe	Q16867	60351476
RDq 354	PER	Camus	Albert Camus	Q34670	97000332
RDq 356	PER	Cardarelli	Vincenzo Cardarelli	Q922237	46755526
RDq 357	PER	Rimbaud	Arthur Rimbaud	Q493	7396281
RDq 357	PER	Bacchelli	Riccardo Bacchelli	Q650303	64044782
RDq 358	PER	De Pisis	Filippo De Pisis	Q661473	68940882
RDq 359	PER	Cardarelli	Vincenzo Cardarelli	Q922237	46755526
RDq 359	PER	Vincenzo Cardarelli	Vincenzo Cardarelli	Q922237	46755526
RDq 362	PER	Eluard	Paul Éluard	Q152176	73848255
RDq 362	PER	La bomba di Faulkner	William Faulkner	Q38392	39376770
RDq 362	PER	Isacco Babel	Isaak Babel	Q49080	9842443
RDq 362	PER	Hemingway	Ernest Hemingway	Q23434	97006051
RDq 364	PER	Paul Louis Courier	Paul Louis Courier	Q1393399	5724843
RDq 364	PER	Paolo Luigi Courier	Paul Louis Courier	Q1393399	5724843
RDq 365	PER	Mia madre	Argentina Testoni		
RDq 368	PER	M. Proust	Marcel Proust	Q7199	32001793
RDq 368	PER	Il Ruzzante	Angelo Beolco	Q1055609	4972611
RDq 368	PER	Ojetti	Ugo Ojetti	Q4002867	36957491
RDq 370	PER	P. Valery	Paul Valéry	Q200639	61553403
RDq 372	PER	Mario Cavaglieri	Mario Cavaglieri	Q3293389	59357691
RDq 372	PER	Jean Jenet	Johann Jenet	Q21532124	172664327
RDq 372	PER	Mario Cavaglieri	Mario Cavaglieri	Q3293389	59357691
