Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDm 32 ;;0;0;;FR.A;CORRISP;MINIS; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625461;;"[*Lettera] 1965 maggio 22, Milano [a] Giuseppe Raimondi / Sergio Miniussi. - 1965. - 1 c. ; 285 x 225 mm. ((Ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 33 ;;0;0;;FR.A;CORRISP;MINGL; ;22/02/93;;;L 3;;Mat. document.-manoscr;Carteggio;3625463;;"[*Lettere] 1964 dicembre 17 - 1966 settembre 12, Milano [e] Mira [a Giuseppe] Raimondi / Luciano Minguzzi. - 1964-1966. - 3 c. ; 282 x 224 mm + 2 buste. ((Una lettera su carta intestata ""Accademia di belle arti di Brera"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 34 ;;0;0;;FR.A;CORRISP;MINGA; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625462;;"[*Lettera] 1966 giugno 28, Bologna [a] Giuseppe Raimondi / Alberto Mingarelli. - 1966. - 1 c. ; 280 x 220 mm + 1 busta + cartoline illustrate (4 c.). ((Ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 35 ;;0;0;;FR.A;CORRISP;MILAP; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625466;;"[*Lettera] 1954 gennaio 12, New York [a Giuseppe] Raimondi / Paolo Milano. - 1954. - 1 c. ; 310 x 210 mm + 1 busta. ((Ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 36 ;;0;0;;FR.A;CORRISP;MILAM; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625464;;"[*Lettera] 1947 ottobre 12, Torino [a Giuseppe] Raimondi / Massimo Mila. - 1947. - 2 p. su 1 c. ; 292 x 192 mm. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 37 ;;0;0;;FR.A;CORRISP;MICHF; ;22/02/93;;;C 1, L 1;;Mat. document.-manoscr;Carteggio;3625465;;"[*Cartolina postale e lettera] 1952 gennaio 9 - [1953 marzo 8], [Genova e Bologna] [a] Beppino Raimondi / Fausto Micheli. - 1952-[1953]. - 2 c. ; 278 x 218 mm + 1 busta. ((Seconda data e luoghi tratti dai timbri postali.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 38 ;;0;0;;FR.A;CORRISP;MICAD; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625467;;"[*Lettera s.d.], Corsico [a] spett.le ditta / Micali Domenico. - [19..?]. - 4 p p. su 1 c. ; 311 x 210 mm. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 39 ;;0;0;;FR.A;CORRISP;MATTOA; ;22/02/93;;;B 1, L 1;;Mat. document.-manoscr;Carteggio;3625468;;"[*Biglietto da visita e lettera] 1964 aprile 6 - 1964 agosto 7, [s.l.] [a Giuseppe] Raimondi / Anna Mattioli Oviglio. - 1964. - 3 p. su 2 c. ; 295 x 215 mm + 2 buste + biglietto pubblicitario (3 p. su 1 c.). ((Allegata pubblicita della Casa editrice Antenore.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 40 ;;0;0;;FR.A;CORRISP;SILVL; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625404;;"[*Lettera] 1927 agosto 26, Bologna [a Giuseppe] Raimondi / Luigi Silvagni. - 1927. - 4 p. su 1 c. ; 309 x 193 mm + 1 busta. ((Lettera ms. su carta intestata personale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 41 ;;0;0;;FR.A;CORRISP;MANAG; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625470;;"[*Lettera] 1979 giugno 26, Roma [a Giuseppe] Raimondi / Giuliano Manacorda. - 1979. - 2 p. su 1 c. ; 215 x 144 mm + 1 busta. ((Lettera ms. su carta intestata ""Universita degli studi di Roma, Istituto di Filologia moderna"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 42 ;;0;0;;FR.A;CORRISP;SIGNO; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625405;;"[*Lettera] 1969 giugno 5, Roma [a Giuseppe] Raimondi / Olga Signorelli. - 1969. - 4 p. su 1 c. ; 278 x 220 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 43 ;;0;0;;FR.A;CORRISP;SERRG; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625406;;"[*Lettera] 1919 aprile 12, Bologna [a Giuseppe Raimondi] / Giustiniano Serrilli. - 1919. - 1 p. su 1 c. ; 268 x 209 mm + 1 busta. ((Lettera ms. su carta intestata ""Sezione bolognese dell'Associazione nazionale fra aiuti e assistenti universitari"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 44 ;;0;0;;FR.A;CORRISP;MONEP; ;22/02/93;;;B 2, L 1;;Mat. document.-manoscr;Carteggio;3625469;;"[*Biglietto da visita, biglietto intestato e lettera] 1928 aprile 12 - 1930 giugno 13, Bologna [e] Milano [a] Giuseppe Raimondi / Paolo Monelli. - 1928-1930. - 6 p. su 3 c. ; 269 x 209 mm + 2 buste. ((Biglietti intestati ""Corriere della sera"", lettera su carta intestata ""Istituto ortopedico Rizzoli"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 45 ;;0;0;;FR.A;CORRISP;NOVEM; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625473;;"[*Biglietto] 1965 luglio 6, Bologna [a Giuseppe Raimondi] / Mariangela Novelli. - 1965. - 1 c. ; 89 x 167 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 46 ;;0;0;;FR.A;CORRISP;NONOG; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625471;;"[*Lettera] 1960 gennaio 18, Bologna [a] Giorgio Nono / Giuseppe Raimondi. - 1960. - 1 c. ; 280 x 220 mm. ((Minuta ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 47 ;;0;0;;FR.A;CORRISP;NOGAG; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625472;;"[*Biglietto da visita] 1967 ottobre 25, Vicenza [a Giuseppe] Raimondi / Gino Nogara. - 1967. - 2 p. su 1 c. ; 70 x 107 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 48 ;;0;0;;FR.A;CORRISP;NICCR; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625474;;"[*Biglietto da visita] 1961 novembre 24, Bologna [a Giuseppe] Raimondi / Raffaello Niccoli. - 1961. - 2 p. su 1 c. ; 70 x 106 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 49 ;;0;0;;FR.A;CORRISP;NERIGI; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625475;;"[*Biglietto da visita] 1961 novembre 20, Bologna [a Giuseppe Raimondi] / Giovanni Neri. - 1961. - 1 c. ; 69 x 106 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
