"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq168/object","La Cronaca Bottrigari. 21.11.1962 ; ""Frontespizio"" per il Compianto della citta di Parigi. 24.11.962 ; La raccolta Berenson. 28.11.962 ; Il Giacometti di Palma Bucarelli. 2.12.1962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq14/object","L'ufficiale tedesco : racconto. Dic. '54","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq75/object","Tre bambini in maschera","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq75/object","Tre bambini in maschera ; Lautreamont : ""L""Hermaphrodite""","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq84/object","Un pittore e un poeta alessandrino : (De Pisis e Cavafis). 25 luglio '58 ; Gli amici al caffe della Barchetta. 30.7.958 ; Isacco Babel riabilitato. 3.8.958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq84/object","Un pittore e un poeta alessandrino : (De Pisis e Cavafis). 25 luglio '58","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq378/object","Il caffe di Petronio, rivista di Giuseppe Raimondi per l'anno 1954 : La valigia delle Indie","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq114/object","Sbarbaro, come pittore. (Il 10.2.960) ; Una sera di carnevale. (18.2.960)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq114/object","Sbarbaro, come pittore. (Il 10.2.960)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq177/object","Faenza neoclassica. 13.4.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq177/object","Faenza neoclassica. 13.4.963 ; Capitolo sull'Emilia. 19.4.963 ; Con Piero Jahier","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq186/object","Desiderio fra le donne","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq243/object","Caserma Scalo : 1930-1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq393/object","Motivi per un diario : (il mese di febbraio). 12/2/78 ; Nerval discende all'inferno","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq393/object","Motivi per un diario : (il mese di febbraio). 12/2/78","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq255/object","Allegoria di Pietrone : racconto. 9.9.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq255/object","Allegoria di Pietrone : racconto. 9.9.1969 ; Cortile a Bologna : racconto. 24.10.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq152/object","I disegni di Michelangelo. 16.1.1962","10 carte"
