Inventario;Specificazione;Sequenza;Titolo;Edizione;Permalink;;;;;;;;;;;;;;;;;;;;;
RDq 50;1956;18;Belgio;;;;;;;;;;;;;;;;;;;;;;;
RDq 50;1956;;Bruges (Van Eyck e Petrus Cristus) (I pittori di Bruges);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 50;1956;;Anversa (Rubens);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 51;1957;01;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 51;1957;;Storia di Guillaume Apollinaire;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 51;1957;;Odilon Redon;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 51;1957;;Alla trattoria;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 52;1957;02;Appunti - Note varie;;;;;;;;;;;;;;;;;;;;;;;
RDq 52;1957;;Monsù Bernardo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 53;1957;03;Manzoni;;;;;;;;;;;;;;;;;;;;;;;
RDq 53;1957;;Osservazioni sui Promessi Sposi [Il paesaggio nei Promessi Sposi];ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 54;1957;04;L'Amleto di Bacchelli;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 55;1957;05;Varie e Valigia;;;;;;;;;;;;;;;;;;;;;;;
RDq 55;1957;;Dei poeti in questo tempo (Carlino);ED;;;;;;;;;;;;;;;;;;;;;;
RDq 55;1957;;Caffè San Pietro;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 56;1957;06;Dino Campana quarant'anni dopo (La fortuna di Campana);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 57;1957;07;Valigia e Varie;;;;;;;;;;;;;;;;;;;;;;;
RDq 57;1957;;André Derain (Omaggio a Derain);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 57;1957;;La via delle scuole;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 58;1957;08;Lo scrittoio di Cecchi [Il lungo lavoro di Cecchi];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 58;1957;;Lettera a Cardarelli;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 59;1957;09;Joyce [Qualcosa su James Joyce];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 60;1957;10;Virgilio Giotti;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 61;1957;11;Nella cripta di San Domenico (Allarme aereo a San Domenico);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 61;1957;;Ricordandomi del Reno;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 62;1957;12;Miscellanea dell'agosto 1957;;;;;;;;;;;;;;;;;;;;;;;
RDq 62;1957;;Pezzi bolognesi (Estate a Bologna);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 62;1957;;Viaggio in Belgio;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 62;1957;;Gente a Bruxelles;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 63;1957;13;Pittori toscani sul muro (Morte al Forte di Belvedere);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 64;1957;14;Le poesie di Pasternak [Il poeta Boris Pasternak];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 64;1957;;Diario Fiammingo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 64;1957;;Contemporanei di Baudelaire;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 65;1957;15;Articoli vari;;;;;;;;;;;;;;;;;;;;;;;
RDq 65;1957;;Un paesaggio di Cezanne;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 65;1957;;Fine di ottobre;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 65;1957;;Leopoldo Longanesi;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 66;1957;16;Articoli vari (novembre 1957);;;;;;;;;;;;;;;;;;;;;;;
RDq 66;1957;;Catalogo di stampe;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 66;1957;;Verso sera;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 66;1957;;Giovanni Romagnoli;ED (RdC)?;;;;;;;;;;;;;;;;;;;;;;
RDq 67;1957;17;Valigia e altre cose;;;;;;;;;;;;;;;;;;;;;;;
RDq 67;1957;;Blaise Cendrars [Il mio amico Cendrars];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 67;1957;;Quadretti bolognesi (Città);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 68;1957;18;De Pisis - nuovi appunti;;;;;;;;;;;;;;;;;;;;;;;
RDq 68;1957;;De Pisis illustratore di libri;ED (Comunità n.58 1958);https://sol.unibo.it/SebinaOpac/resource/de-pisis-illustratore-di-libri/UBO3680778;;;;;;;;;;;;;;;;;;;;;
RDq 69;1957;19;Il bue grasso;ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 69;1957;;Pesiero di Capodanno;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 70;1958;01;Varie;;;;;;;;;;;;;;;;;;;;;;;
RDq 70;1958;;I disegni di Longanesi (Carlino);ED;;;;;;;;;;;;;;;;;;;;;;
RDq 70;1958;;Bino Binazzi (Radio);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 70;1958;;Ritratto di un amico (Alfredo Oriani);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 71;1958;02;Pittura e Controriforma (Mondo);ED;;;;;;;;;;;;;;;;;;;;;;
RDq 71;1958;;Il signor Carlo (Carlino);ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 72;1958;03;I vecchi mestieri;ED (Pirelli n.1 1958);;;;;;;;;;;;;;;;;;;;;;
RDq 73;1958;04;Una quadreria sotto i binari;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 73;1958;;La Terza Pagina (Appunti sulla Terza Pagina);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 74;1958;05;"Le lettere di Campana a Sibilla Aleramo [La ""bella belva bionda""]";ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 74;1958;;Restif-Dubuffet ('Corps de dames');ED (Comunità n.67 1959)?;;;;;;;;;;;;;;;;;;;;;;
RDq 75;1958;06;Tre bambini in maschera;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 75;1958;;Invenzione dell'ermafrodito (Lautréamont);ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 76;1958;07;Le lettere di Campana a di Sibilla 2° articolo [Campana innamorato];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 76;1958;;Neve di Marzo (Cocteau);ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 77;1958;08;La festa di San Giuseppe [Bepo];ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 77;1958;;Georges Seurat in laguna;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 78;1958;09;Pascoli e gli italiani;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 78;1958;;L'autunno di Montaigne;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 78;1958;;Una piccola raccolta di incisioni;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 78;1958;;Le incisioni di Pessarelli;ED?;;;;;;;;;;;;;;;;;;;;;;
